City_ID,City,Country,Max_Temp,Description,Lat,Lng,Hotel Name
1,Vila Franca Do Campo,PT,66.61,broken clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
11,Castro,BR,67.66,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
12,Necochea,AR,69.96,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
24,Ballitoville,ZA,73.54,light rain,-29.539,31.2144,The Vineyard On Ballito
33,Sur,OM,72.93,light rain,22.5667,59.5289,Sur Hotel
38,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
42,Chuy,UY,66.83,clear sky,-33.6971,-53.4616,Alerces
51,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
57,Felipe Carrillo Puerto,MX,69.75,light rain,19.5833,-88.05,Hotel María José
58,Port Elizabeth,ZA,71.1,mist,-33.918,25.5701,Waterford Hotel
60,Guerrero Negro,MX,60.15,overcast clouds,27.9769,-114.0611,Plaza sal paraiso
65,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,Townhouse Hotel
69,Bredasdorp,ZA,66.34,overcast clouds,-34.5322,20.0403,Victoria Hotel
70,Saldanha,ZA,68.05,light rain,-33.0117,17.9442,Hoedjesbaai
71,Puerto Madryn,AR,67.8,few clouds,-42.7692,-65.0385,Hotel Gran Palace
72,Victoria,HK,67.24,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
76,Port Lincoln,AU,62.73,overcast clouds,-34.7333,135.8667,Boston Hotel
81,New Norfolk,AU,63.91,light rain,-42.7826,147.0587,Woodbridge on the Derwent
93,Esperance,AU,61.47,overcast clouds,-33.8667,121.9,Best Western
95,Namibe,AO,68.56,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
108,Vila Velha,BR,73.94,clear sky,-20.3297,-40.2925,Hotel Prainha
111,Jawhar,SO,73.4,overcast clouds,2.7809,45.5005,Hotel Subiye
117,Ponta Do Sol,PT,75.0,light rain,32.6667,-17.1,Estalagem Ponta do Sol
119,Cassia,BR,71.26,broken clouds,-20.5831,-46.9219,Hotel Âncora
130,Hermanus,ZA,68.81,light rain,-34.4187,19.2345,Aloe guest house
138,Mwingi,KE,64.35,overcast clouds,-0.9344,38.0601,Greenvast Hotel
139,Hasaki,JP,59.29,light rain,35.7333,140.8333,Choshi Plaza Hotel
144,Mecca,SA,74.93,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
152,Cidreira,BR,73.29,overcast clouds,-30.1811,-50.2056,Hotel Castelo
157,Isla Vista,US,58.82,moderate rain,34.4133,-119.861,The Club & Guest House
159,Ziway,ET,60.15,clear sky,7.9333,38.7167,Jinka Hotel
