City_ID,City,Country,Lat,Lng,Cloudiness,Humidity,Max_Temp,Wind Speed,Description
0,Souillac,MU,-20.5167,57.5167,75,88,75.58,4.61,broken clouds
1,Vila Franca Do Campo,PT,37.7167,-25.4333,77,84,66.61,25.08,broken clouds
2,Itarema,BR,-2.9248,-39.9167,0,80,78.8,13.67,clear sky
3,High Level,CA,58.5169,-117.136,40,84,-14.69,0.0,scattered clouds
4,Pierre,US,44.3683,-100.351,0,71,30.85,7.0,clear sky
5,Linxia,CN,35.6003,103.2064,98,51,25.12,7.25,overcast clouds
6,Ilulissat,GL,69.2167,-51.1,75,73,19.42,0.0,broken clouds
7,Maniitsoq,GL,65.4167,-52.9,14,71,23.47,4.54,few clouds
8,Nemuro,JP,43.3236,145.575,81,61,35.29,6.31,broken clouds
9,Tigil,RU,57.8,158.6667,96,91,2.28,5.01,overcast clouds
10,Pevek,RU,69.7008,170.3133,100,93,-10.1,13.71,overcast clouds
11,Castro,BR,-24.7911,-50.0119,93,91,67.66,1.59,overcast clouds
12,Necochea,AR,-38.5473,-58.7368,91,43,69.96,1.95,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,0,66,46.51,11.5,clear sky
14,Tuktoyaktuk,CA,69.4541,-133.0374,20,84,-5.8,9.22,few clouds
15,Elban,RU,50.1018,136.5094,77,90,4.78,3.98,broken clouds
16,Vaini,TO,-21.2,-175.2,75,83,82.56,12.66,light rain
17,Ushuaia,AR,-54.8,-68.3,9,93,35.82,3.69,clear sky
18,Lalmohan,BD,22.3384,90.7419,4,64,69.31,7.14,clear sky
19,Saint Anthony,US,45.0205,-93.218,100,92,33.91,0.0,overcast clouds
20,Chippewa Falls,US,44.9369,-91.3929,100,95,33.98,0.0,mist
21,Mataura,NZ,-46.1927,168.8643,70,88,63.48,4.21,broken clouds
22,Albany,US,42.6001,-73.9662,100,73,26.22,2.53,overcast clouds
23,Pampa,US,35.5362,-100.9599,0,60,45.55,5.75,clear sky
24,Ballitoville,ZA,-29.539,31.2144,100,88,73.54,1.14,light rain
25,Lata,PT,40.1629,-8.3327,100,95,48.07,7.02,moderate rain
26,Emirdag,TR,39.0197,31.15,100,78,49.78,8.05,overcast clouds
27,Marion,US,39.7684,-86.1555,100,91,43.57,6.91,mist
28,The Valley,AI,18.217,-63.0578,0,62,77.09,7.9,clear sky
29,Vao,NC,-22.6667,167.4833,100,75,78.82,10.58,overcast clouds
30,Bundaberg,AU,-24.85,152.35,98,62,83.21,1.99,overcast clouds
31,Vila,PT,42.0304,-8.1588,100,93,34.68,4.47,snow
32,Mahuva,IN,21.0914,71.7622,21,47,66.74,10.38,few clouds
33,Sur,OM,22.5667,59.5289,0,67,72.93,2.59,light rain
34,Barrow,US,71.2906,-156.7887,0,78,-2.18,17.27,mist
35,Carnarvon,AU,-24.8667,113.6333,0,45,75.78,20.0,clear sky
36,Saint-Philippe,RE,-21.3585,55.7679,53,87,76.59,10.98,light rain
37,Rikitea,PF,-23.1203,-134.9692,41,80,76.44,18.34,scattered clouds
38,Puerto Ayora,EC,-0.7393,-90.3518,54,96,69.55,3.0,broken clouds
39,Port-Gentil,GA,-0.7193,8.7815,100,81,79.84,8.97,light rain
40,Saskylakh,RU,71.9167,114.0833,100,93,-3.39,14.72,overcast clouds
41,Shache,CN,38.4167,77.2406,59,52,22.28,1.66,broken clouds
42,Chuy,UY,-33.6971,-53.4616,0,75,66.83,8.72,clear sky
43,Miri,MY,4.4148,114.0089,40,78,82.54,2.3,scattered clouds
44,Berdigestyakh,RU,62.0989,126.6992,92,100,-45.35,1.99,overcast clouds
45,Tiksi,RU,71.6872,128.8694,100,96,-14.13,15.5,overcast clouds
46,Olafsvik,IS,64.8945,-23.7142,0,59,34.21,11.59,clear sky
