City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Klaksvik,62.2266,-6.589,36.52,71,100,36.6,FO,2022-12-08 15:35:50
1,Butaritari,3.0707,172.7902,81.25,78,31,15.93,KI,2022-12-08 15:40:50
2,Bluff,-46.6,168.3333,54.77,90,88,2.89,NZ,2022-12-08 15:40:50
3,Vaini,-21.2,-175.2,77.16,94,75,6.91,TO,2022-12-08 15:40:51
4,Los Llanos De Aridane,28.6585,-17.9182,69.55,88,75,11.5,ES,2022-12-08 15:40:51
5,Lensk,60.7253,114.9278,8.08,95,100,8.34,RU,2022-12-08 15:40:52
6,Sorland,67.667,12.6934,33.66,60,20,19.57,NO,2022-12-08 15:36:40
7,Nikolskoye,59.7035,30.7861,26.49,94,99,10.31,RU,2022-12-08 15:36:58
8,Airai,-8.9266,125.4092,59.76,82,93,2.13,TL,2022-12-08 15:40:52
9,Busselton,-33.65,115.3333,55.69,83,6,7.76,AU,2022-12-08 15:40:53
10,Cape Town,-33.9258,18.4232,85.26,47,0,16.11,ZA,2022-12-08 15:38:43
11,Kavieng,-2.5744,150.7967,80.73,80,99,7.45,PG,2022-12-08 15:40:53
12,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,10.36,CA,2022-12-08 15:40:54
13,Atuona,-9.8,-139.0333,77.79,68,25,14.58,PF,2022-12-08 15:40:54
14,Rikitea,-23.1203,-134.9692,74.64,82,13,18.07,PF,2022-12-08 15:40:54
15,Camacha,33.0833,-16.3333,67.42,60,40,27.63,PT,2022-12-08 15:40:55
16,Port Elizabeth,-33.918,25.5701,79.11,88,75,16.11,ZA,2022-12-08 15:40:55
17,Thompson,55.7435,-97.8558,-30.84,75,20,0.0,CA,2022-12-08 15:40:55
18,Chokurdakh,70.6333,147.9167,-24.25,96,73,5.17,RU,2022-12-08 15:40:56
19,Leh,34.1667,77.5833,24.33,80,99,3.6,IN,2022-12-08 15:37:46
20,Ternate,0.8,127.4,81.28,77,97,4.25,ID,2022-12-08 15:40:56
21,Mataura,-46.1927,168.8643,51.28,91,88,2.21,NZ,2022-12-08 15:40:57
22,Rjukan,59.8789,8.5941,16.45,92,87,4.38,NO,2022-12-08 15:38:37
23,Chapais,49.7834,-74.8492,2.98,87,13,5.41,CA,2022-12-08 15:40:57
24,Mitu,1.1983,-70.1733,84.38,52,100,4.72,CO,2022-12-08 15:40:58
25,Hobart,-42.8794,147.3294,48.06,77,40,12.66,AU,2022-12-08 15:40:58
26,Khatanga,71.9667,102.5,-32.24,97,77,1.7,RU,2022-12-08 15:40:59
27,Caravelas,-17.7125,-39.2481,84.04,63,100,6.82,BR,2022-12-08 15:40:59
